,Text,label
0,তোমাকে সেই লাগে গো,0
1,দেখা হচ্ছে ২ টার পর,0
2,এত বড় মেয়ে তুতলাম করো কেন,1
3,নিজেকে দেখতে পেয়ে খুশি লাগতেছে,0
4,আমার জন্য একবার কবিতাটা বলবা,0
5,কিরিম আপা দিন দিন কাইল্লা হইতেছে,1
6,তিন কিউটি একসাথে বাহ্ দারুন,0
7,তুই যে কথাগুলো বলিস সেইগুলোই ন্যাকামো করে কথা বলিস । ভালো করে বলা যায় না। বেয়াদব একটা।,1
8,কিরিম আফা কি কালি গায়ে মেকআপ করতেছে 😷,1
9,এই জল হস্তি কোথায় থেকে এলো আবার,1
10,এই পেত্নি ডাইনি,1
11,পার্লার ঝাড়ু দিয়েও মেকআপ শেখা যায়,1
12,এই মহিলা এতো ওভার এক্টিং করে....!! এদের স্বভাবগুনে এরা পাবলিকের পঁচানি খায়!! বেশি ওভারস্মার্ট ন্যাকা বলেই এই অবস্হা,1
13,খবিশের মতো লাগে,1
14,আমাদের সুন্দরী আপা।।।,0
15,মুখে পূর্নিমার চাদ পায়ে কেন আমাবস্যার রাত,1
16,এডা হইচে আরেক মেকাপ আফা খবিশ পারেনা মেকাপ গুইলা খায় নিজেরে নিজে কি মনে করে হেতিয়ে ভালা যানে,1
17,তোমার হাসিতে আমি মুগ্ধ,0
19,বাড়ির কাছ থেকে ঘুইরা যায় টের ও পাই না,0
20,তোমারে আমার ভালো লাগে,0
21,সুন্দর চেহেরায় সুন্দর হাসি দিয়ে পুরো পৃথিবী পাগল করা যায়,0
22,নেকা,1
23,কিছু বলার নেই,0
24,তুমি মায়াবতী,0
25,তোমাদের দেখে মনে হয় হারিয়ে যায়  তোমাদের মাঝে তোমার জন্য  শুভ কামনা রহিলো,0
26,তোমার ঠুঁট সুন্দর,0
27,পুরাটাই সাল্লু আপা মত দেখতে,1
28,প্রতিবন্ধী কোথাকার,1
29,আপাগো আমি জন্ম গত কালা ফসা হতে চাই আমারে একটা এিম দেননা।,1
30,আমার থেকে ফকির বেডি স্মার্ট আছে🙂,1
31,সবাইকে ভালো লাগে!,0
32,ভালোলাগার একজন মানুষ,0
33,"এই পর্যন্ত আপনার যতগুলো নাটক / ওয়েব সিরিজ দেখেছি সবগুলোতেই আপনি দর্শনের শিকার হয়েছেন!! বুঝলাম না কিছু, পরিচালক কি আপনাকে এই রকম দৃশ্যে অভিনয় করিয়ে মজা নেন,নাকি অন্য কিছু",0
34,এরকম জগন্ন মেকআপ পুরো ভূতের মতো লাগছে,1
35,পায়ের কালার এমন কেন আপা কিরিম কি শুধু উপরে লাগান,1
36,দেখলেই ডাইনির মতো মনে শাশুড়িরে দেখবা কেমনে।,1
37,এইটা আপু একটা চুড়েল,1
38,আমরা কুরবানি করি মহান আল্লাহর খুশি করার জন্য আর তার রাস্তে নিয়ত করা পশুর যে কোন অংশ নিয়ে এভাবে ভিডিও বানানো ঠিক ভাইকে বলছি সেই ইসমাইল থেকে যদি মানুষ কুরবানির নিয়ম চালু বা বহাল থাকতো তখন কি নিজের আপন মানুষটার এই ফুস ফুস নিয়ে এমনটা করতে,1
39,বাইরাল না ইটস কল ব্রাইডাল।মূর্খ কোথাকার,1
40,পাগলের মতো লাগছে দেখতে আন্টি,1
41,অমন করে হাঁসলে থাকতে পারবো না প্রিয়,0
42,আফায় যেই খাওয়া না খাই এই খাসি দেখি আপনারা হয়বোনা।,1
43,আসসালামু আলাইকুম ভাইয়া কেমন আছেন?,0
44,নতুন ক্রাশ,0
45,ফালতু মহিলা দেয় নায় দেখে ফেজবুকে এসে নাটক করা লাগবে বেদ্দব মহিলা,1
46,দাতো মেয়ে,1
47,তুমি পাশ,0
48,তুমি সব থেকে বেশি সুন্দর!,0
49,"আগে ভালো লাগতো না, এখনো লাগে না!",0
50,থুমি তাহলে কেন,0
51,"আসলামু আলাইকুম  ভাই ,  আমি আপনার সাথে দেখা করতে চাই",0
52,আপা কালা পায়ে একটু ক্রিম দিতে পারলেন না,1
53,বস্তিতেই ভালো বানায় বইন,1
54,আপনি এতো সুন্দর কেন,0
55,মুরগী সব খায় আর আমরা মুসলিমরা গরু খেলেই হাঁস মুরগি ছাগল ভেড়ার মাঝে কি প্রান,1
56,ই বুড়ি বয়সে কেউ এইসব করে,1
57,তোর বয়সের দিকে খেয়াল আছে বুইরা বেডি,1
58,আপা আপনার ফেইস এর সাথে এমন ভয়েজ মোটেও মানানসই নাহ,1
59,তোর মেকাপ ভেরার মতো,1
60,- আহহহ প্রেমীকা,0
61,ডানা কাটা পেত্নীর মত লাগতেছে 🧟‍♂️,1
62,তোমাকে এত দেশে ঘুরার অনুমতি দেয় কে?,0
63,চেহারার দেখতে ও মায়া লাগেনা,1
64,তুমি তো জানো তোমার অভিনীত প্রথম ধারাবাহিক থেকেই তোমাকে আমি ভীষণ পছন্দ করি ভালোও বাসি.,0
65,হাসিটা মারাত্মক,0
66,পুরো ভূতের মত লাগে,1
67,"ভাইয়া, চট্টগ্রাম বিশ্ববিদ্যালয়ে কখন আসবেন?",0
68,তুই সুন্দর দেখা কইরা যাহ,0
69,এই ফেরিওয়ালা শুনে যা এদিকে।,1
70,বড় হলে চোর হবে।,1
71,হাসিওনা মনা তুমি হাসলে আগুন লাগে,0
72,সুরক্ষার অভাবে শিহরণ যেন হাতছাড়া না হয়।,0
73,উড়ছে পাখি দিচ্ছে ডাক মেসির হাতে চায়ের কাপ ব্রাজিল নিবে বিশ্বকাপ,0
74,প্রতিবন্ধী কি বলে,1
75,ভালবাসার আরেক নাম মেহেজাবিন আপু,0
76,নিজে এক ভুত আর একটাকেও ভুত বানাই দিছে,1
77,বইড়া খচ্চর বেডি,1
78,এতো নাটক মেয়েদের সহ্য হবে নাহ ছেলেদের কিভাবে হবে,1
79,"""তুই তাকালে ধমকে থাকে আমার বুকের বা পাশ""",0
80,কাজল চোখের মেয়ে!,0
81,শাড়ি ছাড়া তোমারে ভাল্লাগেনা তুষি,0
82,জুম চাষ করে হেতি,1
83,নায়ক তো একটাও গেলো না,0
84,চমৎকার,0
85,তোর লজ্জা করেনা নিজের ছেলে সাথে চাকর এর মত ব্যাবহার হট লাগছে বলছে ছি কি ব্রিশ্রি ভংগি দিয়ে দেখাছে তুই কি কারো মেয়ে,1
86,আপনি অদ্ভুত সুন্দর,0
87,"তার চেয়ে তুমি আরো বেশি সুন্দর,,",0
88,ফালতু মহিলা একটা,1
89,আপা আপনার মুখ সাদা পা দুটো কালো কেনো ক্রিম লাগাতে মনে নাই ম্যাচ করেনা আপু,1
90,ঠিক মতো কথা বলতে পারে না ছোট মেয়ে আহারে,1
91,"এইডার চোখ, দাত, জিহ্বা, ঠোট আর খাবারের স্টাইল সব মিলায়ে সেরাম কম্বিনেশন। এইডারে দেখলে সেদিন মেজাজটাই খারাপ হয়ে যায়।",1
92,সুন্দরী কুইন দেখাচ্ছে,0
93,"ওরে মোটী রে!!,",1
94,"এমন একজন মানুষ সবার জীবনে থাকা দরকার,যে কিনা পুরো পৃথিবী তোমার বিরুদ্ধে থাকলেও, সে তোমার পাশে থাকবে!'",0
95,সালা নিজে একটা তৃতীয় লিঙ্গের ও আবার আসছে ধর্মত্বের বানী শোনাতে,1
96,তোমাকে ছাড়া ভাল যাচ্ছে না।,0
